SCORE:,total_score,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,yhh_planarity,description
SCORE:,1722.8020000000001,-5.492000000000001,-1575.5870000000002,359.119,-443.592,3.31,53.431000000000004,2644.954,887.7189999999999,-50.553000000000004,-124.15899999999999,-36.878,-34.235,-37.263000000000005,23.253,-57.81,2.189,16.993,97.055,0.34600000000000003,aflibercept_input_0008_0003
SCORE:,1758.5610000000001,-5.492000000000001,-1599.275,371.80400000000003,-456.48699999999997,3.388,53.781000000000006,2580.624,908.655,-53.13399999999999,-123.928,-37.485,-33.429,-32.961,26.999000000000002,-50.375,79.43,29.046,97.055,0.34600000000000003,aflibercept_input_0008_0002
SCORE:,1450.274,-5.711,-1601.81,373.80800000000005,-445.44800000000004,3.467,54.097,2333.935,922.3689999999999,-47.168,-122.27,-37.05,-33.813,-33.56,21.453000000000003,-58.201,2.006,26.979,97.055,0.136,aflibercept_input_0007_0003
SCORE:,2458.815,-5.946000000000001,-1611.25,367.082,-439.684,3.373,53.964,3357.522,905.8560000000001,-47.048,-122.113,-38.1,-32.625,-38.353,24.816999999999997,-49.838,1.4769999999999999,32.464,97.055,0.161,aflibercept_input_0008_0001
SCORE:,555.509,-5.562,-1596.371,358.277,-459.653,3.3280000000000003,53.788999999999994,1503.648,906.554,-51.34,-124.463,-36.368,-32.367,-34.412,22.359,-61.566,1.8530000000000002,10.405,97.055,0.341,aflibercept_input_0009_0001
SCORE:,2169.469,-5.715,-1613.994,373.093,-451.746,3.3510000000000004,53.972,3080.877,908.2610000000001,-46.673,-121.762,-37.244,-36.159,-34.881,24.28,-57.803000000000004,1.911,32.474000000000004,97.055,0.171,aflibercept_input_0010_0001
SCORE:,1060.281,-5.603,-1602.066,372.046,-453.083,3.319,53.205,1979.5839999999998,922.306,-50.49,-126.04299999999999,-46.229,-32.661,-31.818,22.066,-56.193000000000005,1.867,12.716,97.055,0.305,aflibercept_input_0009_0002
SCORE:,759.738,-5.525,-1577.476,375.32099999999997,-436.592,3.5380000000000003,53.648999999999994,1641.9679999999998,901.3660000000001,-48.778999999999996,-123.34100000000001,-34.798,-33.578,-37.066,20.308,-56.74,1.421,18.813,97.055,0.19399999999999998,aflibercept_input_0010_0002
SCORE:,1844.039,-5.785,-1598.424,369.93300000000005,-443.406,3.4,53.28,2751.2209999999995,912.421,-47.038000000000004,-122.94200000000001,-32.573,-34.365,-36.155,19.772000000000002,-61.798,1.6980000000000002,17.589000000000002,97.055,0.156,aflibercept_input_0011_0003
SCORE:,1250.31,-5.946000000000001,-1595.715,369.879,-447.05800000000005,3.3,53.855,2116.6220000000003,912.375,-45.821999999999996,-123.709,-36.75,-32.696,-33.788000000000004,27.211,-62.986000000000004,30.484,23.837,97.055,0.161,aflibercept_input_0010_0003
SCORE:,1306.8210000000001,-5.772,-1612.0710000000001,363.75,-463.288,3.4789999999999996,55.398,2226.4429999999998,929.291,-48.071000000000005,-125.31700000000001,-42.125,-33.0,-30.235,23.857,-57.88399999999999,1.703,23.284000000000002,97.055,0.322,aflibercept_input_0011_0002
SCORE:,1185.194,-5.562,-1588.4979999999998,377.925,-452.11,3.8310000000000004,54.178000000000004,2091.098,903.118,-50.278,-124.596,-36.657,-33.78,-35.089,22.529,-62.5,4.032,20.158,97.055,0.341,aflibercept_input_0011_0001
SCORE:,1185.702,-5.603,-1628.0710000000001,367.879,-461.06800000000004,3.28,53.78,2106.815,938.5889999999999,-50.531000000000006,-126.191,-42.49100000000001,-32.52,-31.149,23.772,-56.64,4.0680000000000005,24.425,97.055,0.305,aflibercept_input_0009_0003
