SCORE:,total_score,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,yhh_planarity,description
SCORE:,-802.159,-6.017,-1579.977,353.526,-492.07,3.253,52.478,189.497,903.174,-54.083,-125.10700000000001,-47.923,-37.687,-33.25,25.235,-62.67100000000001,1.399,10.718,97.055,0.29100000000000004,aflibercept_input_0019_0001_0001
SCORE:,-807.1610000000001,-5.372000000000001,-1572.0379999999998,358.281,-490.504,3.425,54.303999999999995,193.734,885.653,-63.501000000000005,-125.57600000000001,-41.388999999999996,-34.734,-32.135999999999996,22.730999999999998,-65.376,1.4469999999999998,6.524,97.055,0.311,aflibercept_input_0014_0001_0009
SCORE:,-805.493,-5.399,-1562.102,353.915,-489.45099999999996,3.312,54.801,191.543,884.25,-63.512,-125.25,-43.732,-34.955,-33.209,24.864,-65.734,1.4880000000000002,6.287999999999999,97.055,0.336,aflibercept_input_0014_0001_0004
SCORE:,-812.909,-5.497999999999999,-1571.895,356.406,-495.985,3.29,53.176,193.68,891.043,-62.083,-126.63,-44.88,-34.694,-33.751999999999995,24.494,-64.925,1.486,6.492999999999999,97.055,0.311,aflibercept_input_0014_0001_0008
SCORE:,-805.2860000000001,-5.405,-1568.269,359.923,-486.349,3.339,55.025,192.988,878.96,-63.707,-125.655,-43.191,-34.965,-32.551,24.204,-65.217,1.4569999999999999,6.7379999999999995,97.055,0.33299999999999996,aflibercept_input_0014_0001_0003
SCORE:,-802.13,-5.6370000000000005,-1579.856,351.439,-484.77,3.3289999999999997,52.253,190.484,897.6110000000001,-51.931999999999995,-125.23100000000001,-47.903999999999996,-37.025999999999996,-35.361,25.734,-62.988,1.4969999999999999,9.038,97.055,0.136,aflibercept_input_0019_0001_0006
SCORE:,-803.7289999999999,-5.979,-1574.8,349.36300000000006,-485.379,3.253,52.74100000000001,188.68599999999998,896.365,-53.46,-123.31299999999999,-47.938,-37.959,-33.554,24.788,-64.714,1.337,9.539,97.055,0.24100000000000002,aflibercept_input_0019_0001_0008
SCORE:,-802.1160000000001,-5.774,-1582.067,353.724,-490.20300000000003,3.2439999999999998,52.566,191.705,900.573,-53.946999999999996,-126.24799999999999,-48.788000000000004,-37.259,-32.461,25.748,-61.556999999999995,1.401,9.992,97.055,0.179,aflibercept_input_0019_0001_0010
SCORE:,-804.995,-5.745,-1575.6329999999998,348.64300000000003,-486.041,3.32,52.353,190.00099999999998,894.716,-51.791000000000004,-125.65899999999999,-47.301,-37.542,-34.879,25.225,-62.581,1.4909999999999999,9.286,97.055,0.08900000000000001,aflibercept_input_0019_0001_0007
SCORE:,-804.1569999999999,-5.591,-1586.986,350.3,-485.615,3.242,52.577,193.00599999999997,901.175,-52.845,-125.656,-45.825,-37.755,-34.104,24.851999999999997,-63.173,1.389,9.59,97.055,0.205,aflibercept_input_0019_0001_0005
SCORE:,-806.435,-5.87,-1582.845,345.814,-482.811,3.2460000000000004,52.383,191.815,899.5169999999999,-52.58,-125.229,-47.375,-37.738,-34.215,24.631999999999998,-62.907,1.4480000000000002,8.98,97.055,0.24600000000000002,aflibercept_input_0019_0001_0009
SCORE:,-786.846,-5.694,-1577.969,356.434,-470.215,3.3,54.236000000000004,195.923,885.673,-62.891000000000005,-124.865,-42.879,-32.609,-36.988,22.57,-64.89399999999999,1.5390000000000001,15.057,97.055,0.37,aflibercept_input_0022_0002_0003
SCORE:,-785.931,-5.689,-1581.295,358.224,-471.829,3.29,54.698,196.59400000000002,888.444,-61.099,-125.177,-46.29,-32.391,-36.732,22.614,-64.767,1.5419999999999998,16.458,97.055,0.419,aflibercept_input_0022_0002_0001
SCORE:,-780.87,-5.739,-1584.951,367.161,-472.454,3.321,55.531000000000006,195.06599999999997,893.455,-63.541000000000004,-124.596,-46.058,-32.745,-37.061,21.094,-64.813,1.482,16.518,97.055,0.40700000000000003,aflibercept_input_0022_0002_0005
SCORE:,-789.574,-5.751,-1586.34,355.496,-468.806,3.304,54.817,193.516,891.622,-60.968,-126.28,-43.256,-32.731,-37.72,23.201999999999998,-64.888,1.4980000000000002,16.236,97.055,0.42,aflibercept_input_0022_0002_0004
SCORE:,-788.543,-5.643,-1586.5520000000001,356.402,-472.579,3.3,54.597,195.842,891.58,-59.821000000000005,-125.759,-43.119,-32.186,-37.266999999999996,23.545,-65.08,1.464,15.299000000000001,97.055,0.38,aflibercept_input_0022_0002_0002
SCORE:,-777.191,-5.836,-1574.682,359.385,-465.33,3.281,53.401,192.197,884.6139999999999,-61.005,-125.33200000000001,-41.29600000000001,-32.453,-38.010999999999996,23.364,-64.578,1.505,16.134,97.055,0.39799999999999996,aflibercept_input_0022_0002_0006
SCORE:,-788.185,-5.882999999999999,-1585.555,356.779,-474.50800000000004,3.299,54.855,197.67700000000002,892.1089999999999,-60.527,-125.411,-46.864,-32.221,-35.844,24.051,-64.804,1.464,15.763,97.055,0.38,aflibercept_input_0022_0002_0007
SCORE:,-831.9019999999999,-5.622000000000001,-1587.606,354.87800000000004,-493.725,3.278,54.261,191.426,893.898,-62.886,-127.527,-48.238,-34.224000000000004,-33.597,24.022,-65.383,1.8230000000000002,5.904,97.055,0.361,aflibercept_input_0023_0001_0001
SCORE:,-789.056,-5.776,-1586.602,357.99,-475.05699999999996,3.285,54.979,195.375,896.546,-61.974,-126.085,-44.662,-32.486,-36.232,22.513,-65.111,1.514,15.267000000000001,97.055,0.405,aflibercept_input_0022_0002_0010
SCORE:,-782.0,-5.712000000000001,-1586.3329999999999,360.097,-473.647,3.282,53.938,197.537,890.5260000000001,-61.559,-125.87299999999999,-41.956,-32.18,-36.089,23.959,-63.843,1.3869999999999998,17.005,97.055,0.406,aflibercept_input_0022_0002_0009
SCORE:,-826.373,-5.662000000000001,-1579.7279999999998,349.99800000000005,-488.994,3.278,53.883,192.03400000000002,886.717,-58.63399999999999,-126.984,-52.398999999999994,-34.576,-32.312,25.788,-64.824,2.0140000000000002,6.528,97.055,0.447,aflibercept_input_0023_0001_0002
SCORE:,-833.0039999999999,-5.563,-1587.491,351.845,-491.45599999999996,3.259,53.13399999999999,190.87099999999998,892.201,-62.621,-126.60700000000001,-50.331,-34.226,-32.748000000000005,24.993000000000002,-64.498,1.929,6.893,97.055,0.354,aflibercept_input_0023_0001_0003
SCORE:,-788.8689999999999,-5.906000000000001,-1577.4360000000001,356.684,-468.594,3.2710000000000004,53.401,191.296,882.2439999999999,-61.898,-123.88600000000001,-42.75,-32.242,-35.64,22.19,-64.333,1.501,15.808,97.055,0.36700000000000005,aflibercept_input_0022_0002_0008
SCORE:,-831.409,-5.769,-1578.905,352.89599999999996,-498.62199999999996,3.28,53.913999999999994,189.1,895.6339999999999,-63.532,-126.537,-50.53,-34.262,-31.861,23.815,-64.95100000000001,1.74,5.709,97.055,0.41700000000000004,aflibercept_input_0023_0001_0004
SCORE:,-831.172,-5.638999999999999,-1588.0739999999998,357.2,-494.64099999999996,3.272,54.643,193.074,892.748,-62.522,-127.51299999999999,-49.986999999999995,-34.183,-34.038000000000004,24.373,-65.053,1.7890000000000001,5.966,97.055,0.358,aflibercept_input_0023_0001_0005
